490,Москва,Москва,Центральный,11514330
781,Санкт-Петербург,Санкт-Петербург,Северо-Западный,4848742
634,Новосибирск,Новосибирская область,Сибирский,1498921
829,Екатеринбург,Свердловская область,Уральский,1377738
606,Нижний Новгород,Нижегородская область,Приволжский,1250615
769,Самара,Самарская область,Приволжский,1164900
643,Омск,Омская область,Сибирский,1154000
922,Казань,Татарстан,Приволжский,1143546
1058,Челябинск,Челябинская область,Уральский,1130273
744,Ростов-на-Дону,Ростовская область,Южный,1091544
62,Уфа,Башкортостан,Приволжский,1062300
121,Волгоград,Волгоградская область,Южный,1021244
693,Пермь,Пермский край,Приволжский,1000679
410,Красноярск,Красноярский край,Сибирский,1000000
159,Воронеж,Воронежская область,Центральный,889989
797,Саратов,Саратовская область,Приволжский,836900
380,Краснодар,Краснодарский край,Южный,744933
771,Тольятти,Самарская область,Приволжский,719484
993,Ижевск,Удмуртия,Приволжский,628117
1002,Ульяновск,Ульяновская область,Приволжский,613793
5,Барнаул,Алтайский край,Сибирский,612091
704,Владивосток,Приморский край,Дальневосточный,592069
1109,Ярославль,Ярославская область,Центральный,591486
222,Иркутск,Иркутская область,Сибирский,587225
989,Тюмень,Тюменская область,Уральский,581758
177,Махачкала,Дагестан,Северо-Кавказский,577990
1009,Хабаровск,Хабаровский край,Дальневосточный,577668
653,Оренбург,Оренбургская область,Приволжский,570329
321,Новокузнецк,Кемеровская область,Сибирский,547885
315,Кемерово,Кемеровская область,Сибирский,532884
1424,Москва22,Москва22,Центральный222,11514330
